id,model,hyp_base,hyp_topic,hyp_emphasis,reference,BLEU,chrF,BERTScore_F1
1,llama,The train goes how far.,How far does the train go.,How far is the train station.,where does the train go,0.18084108219203518,51.944595195530994,0.9238899747530619
1,gemma,where does the train go?,where does the train go,how far did the train go,where does the train go,0.64566974803007,82.74545188780762,0.9674934347470602
2,llama,I need to check the bus timings.,I need to check the bus's timing.,We need to check the bus timing.,just need to check the timing,0.35930411196308426,70.75881698344233,0.9514529705047607
2,gemma,check bus timing,Timing check the bus,check the timing of the bus,just need to check the timing,0.0,44.60624047027002,0.8927127122879028
3,llama,Is there a taxi available near the station?,Is there a taxi available near the station?,Is there a taxi available near the station?,Are taxis available near the station?,0.44632361378533286,78.15985472017832,0.9746094346046448
3,gemma,Is there a taxi available near the station?,Is there a taxi available at the station?,Is there a taxi available at the station?,Are taxis available near the station?,0.255265212582006,65.19455437975631,0.9698699116706848
4,llama,We need to print the boarding pass for the flight.,I need to print the boarding pass for the flight.,I need to print the boarding pass for the flight.,Have to print flight boarding pass,0.0,60.52326358193598,0.9379408558209738
4,gemma,print boarding pass for flight,"""boarding pass print karwana hai flight ka",print boarding pass for flight,Have to print flight boarding pass,0.0,60.04893329047607,0.8985008597373962
5,llama,Please turn on the car's meter.,Can you please meter the auto.,Please turn on the car's meter.,auto ka meter on karlo please,0.0,30.104296479475394,0.8456478118896484
5,gemma,Turn on the meter for the auto please,Please turn meter on auto.,please turn on the meter for the car .,auto ka meter on karlo please,0.0,36.941706101321806,0.8469404776891073
6,llama,Follow the speed limit on the highway.,Please follow the speed limit on the highway.,Follow the speed limit on the highway.,highway pe speed limit follow karo,0.0,57.376201757822244,0.8672651847203573
6,gemma,follow the speed limit on the highway,follow the speed limit on the highway,follow the speed limit on the highway,highway pe speed limit follow karo,0.0,60.936629352417945,0.8610319495201111
7,llama,Did the luggage weight check happen?,Did they weigh our luggage?,Has the weight of the luggage been checked.,Has the weight of the luggage been checked?,0.35324142154362587,57.74179448548229,0.9402626554171244
7,gemma,Is the weight of the luggage checked?,Is the weight check done on the luggage,Check if the luggage weight is over 50 pounds,Has the weight of the luggage been checked?,0.23242866696626707,58.506017788144945,0.9285344481468201
8,llama,The train platform number has been changed.,The platform number of the train has been changed.,The train's platform number has changed.,train platform number changed,0.0,73.81334127043507,0.934327244758606
8,gemma,The train platform number has changed.,Platform number changed for the train,What is the platform number for the changed train?,train platform number changed,0.0,77.28218595368074,0.9233089288075765
9,llama,You can explain the reason for the flight delay.,Can you explain the reason for the flight delay?,You can tell us the reason for the flight delay.,Can you tell the reason for the flight delay?,0.5649150369324428,75.11920063590419,0.9535457094510397
9,gemma,Can you tell me the reason for the flight delay?,can you tell me the reason for flight delay?,what is the reason for flight delay,Can you tell the reason for the flight delay?,0.4294849649256628,74.15241505743424,0.9539649486541748
10,llama,Will I get a ticket refund online?,Will I get a refund for the ticket online?,Will I get a refund for the online ticket.,Will I get ticket refund online?,0.24178614976744797,70.71517669470579,0.9647545218467712
10,gemma,Will the ticket be refunded online?,Will I get a refund online for the ticket?,What will be the refund ticket online,Will I get ticket refund online?,0.0,57.971495903492276,0.9367809295654297
11,llama,The pizza order needs to be cancelled.,The pizza order will have to be cancelled.,The pizza order will have to be cancelled.,Pizza order will have to be canceled,0.3428106066205278,77.49616501484512,0.9563679297765096
11,gemma,The pizza order needs to be cancelled.,cancel the order for pizza,cancel the order for pizza,Pizza order will have to be canceled,0.0,39.174149274164854,0.881485382715861
12,llama,Can you please add extra sugar in my tea.,Add extra sugar to the tea.,Add extra sugar to the tea.,add extra sugar to tea,0.0,74.20374652351876,0.9551262060801188
12,gemma,Add extra sugar to the tea,Add extra sugar to the chai,add sugar to chai me extra,add extra sugar to tea,0.0,69.82076700317877,0.945915420850118
13,llama,Make the pasta a bit spicy.,Make the pasta a bit spicier.,Make the pasta a bit spicy.,make pasta a little spicy,0.0,42.3741324668556,0.9401220083236694
