id,pair_type,llm_judge_score
1,base_tf,1.0
1,base_es,1.0
1,tf_es,1.0
2,base_tf,0.95
2,base_es,0.95
2,tf_es,0.95
3,base_tf,1.0
3,base_es,1.0
3,tf_es,1.0
4,base_tf,0.95
4,base_es,1.0
4,tf_es,1.0
5,base_tf,0.95
5,base_es,1.0
5,tf_es,0.95
6,base_tf,0.95
6,base_es,1.0
6,tf_es,0.95
7,base_tf,1.0
7,base_es,1.0
7,tf_es,0.9
8,base_tf,0.95
8,base_es,0.95
8,tf_es,0.95
9,base_tf,0.95
9,base_es,1.0
9,tf_es,0.9
10,base_tf,1.0
10,base_es,0.95
10,tf_es,0.95
11,base_tf,1.0
11,base_es,1.0
11,tf_es,1.0
12,base_tf,0.95
12,base_es,1.0
12,tf_es,1.0
13,base_tf,0.95
13,base_es,0.9
13,tf_es,0.9
14,base_tf,1.0
14,base_es,0.95
14,tf_es,0.95
15,base_tf,1.0
15,base_es,0.95
15,tf_es,0.95
16,base_tf,0.95
16,base_es,0.95
16,tf_es,0.9
17,base_tf,1.0
17,base_es,0.95
17,tf_es,1.0
18,base_tf,0.95
18,base_es,0.95
18,tf_es,0.9
19,base_tf,1.0
19,base_es,1.0
19,tf_es,1.0
20,base_tf,0.95
20,base_es,1.0
20,tf_es,0.95
21,base_tf,1.0
21,base_es,1.0
21,tf_es,1.0
22,base_tf,0.95
22,base_es,0.95
22,tf_es,0.95
23,base_tf,1.0
23,base_es,0.95
23,tf_es,1.0
24,base_tf,0.95
24,base_es,0.95
24,tf_es,0.95
25,base_tf,0.9
25,base_es,1.0
25,tf_es,0.9
26,base_tf,1.0
26,base_es,0.95
26,tf_es,0.95
27,base_tf,1.0
27,base_es,1.0
27,tf_es,0.95
28,base_tf,0.95
28,base_es,0.95
28,tf_es,0.9
29,base_tf,0.95
29,base_es,0.95
29,tf_es,0.9
30,base_tf,0.95
30,base_es,1.0
30,tf_es,0.9
31,base_tf,0.9
31,base_es,1.0
31,tf_es,0.95
32,base_tf,0.95
32,base_es,1.0
32,tf_es,0.9
33,base_tf,0.95
33,base_es,0.95
33,tf_es,0.95
34,base_tf,0.95
34,base_es,1.0
34,tf_es,0.95
35,base_tf,1.0
35,base_es,1.0
35,tf_es,0.95
36,base_tf,0.95
36,base_es,1.0
36,tf_es,0.95
37,base_tf,0.95
37,base_es,1.0
37,tf_es,0.95
38,base_tf,1.0
38,base_es,1.0
38,tf_es,0.95
39,base_tf,0.95
39,base_es,1.0
39,tf_es,0.95
40,base_tf,0.9
40,base_es,0.95
40,tf_es,0.95
41,base_tf,0.95
41,base_es,1.0
41,tf_es,0.95
42,base_tf,0.95
42,base_es,1.0
42,tf_es,0.95
43,base_tf,0.95
43,base_es,1.0
43,tf_es,1.0
44,base_tf,0.95
44,base_es,1.0
44,tf_es,0.95
45,base_tf,0.95
45,base_es,1.0
45,tf_es,0.95
46,base_tf,1.0
46,base_es,1.0
46,tf_es,0.95
47,base_tf,0.95
47,base_es,1.0
47,tf_es,1.0
48,base_tf,0.9
48,base_es,0.9
48,tf_es,0.9
49,base_tf,1.0
49,base_es,1.0
49,tf_es,1.0
50,base_tf,0.95
50,base_es,1.0
50,tf_es,0.95
51,base_tf,0.95
51,base_es,1.0
51,tf_es,0.9
52,base_tf,0.95
52,base_es,1.0
52,tf_es,0.95
53,base_tf,0.98
53,base_es,1.0
53,tf_es,0.95
54,base_tf,1.0
54,base_es,1.0
54,tf_es,0.95
55,base_tf,0.95
55,base_es,1.0
55,tf_es,0.9
56,base_tf,0.95
56,base_es,1.0
56,tf_es,0.95
57,base_tf,0.95
57,base_es,1.0
57,tf_es,0.9
58,base_tf,0.95
58,base_es,1.0
58,tf_es,1.0
59,base_tf,1.0
59,base_es,1.0
59,tf_es,1.0
60,base_tf,0.95
60,base_es,1.0
60,tf_es,0.95
