id,domain,base,variant_topic_fronting,variant_emphasis_shift,reference_en,bleu_base_vs_topic,bleu_base_vs_emph,bertscore_base_vs_topic,bertscore_base_vs_emph,comet_base_vs_topic,comet_base_vs_emph
1,travel,train kaha tak jati hai,kaha tak jati hai train,jati hai kaha tak train,where does the train go,0.7071067811865478,0.31947155212313627,0.9564555287361145,0.9232209920883179,,
2,travel,bus timing check karna hai,timing check karna hai bus ka,check karna hai bus ka timing,just need to check the timing,0.537284965911771,0.3432945239845197,0.9436590671539307,0.9266716837882996,,
3,travel,station ke paas taxi available hai kya,taxi available hai kya station ke paas,available hai kya station ke paas taxi,Are taxis available near the station?,0.5946035575013604,0.5946035575013604,0.9394731521606445,0.9332666397094727,,
4,travel,flight ka boarding pass print karwana hai,boarding pass print karwana hai flight ka,print karwana hai flight ka boarding pass,Have to print flight boarding pass,0.7071067811865478,0.5946035575013604,0.9528347849845886,0.9471369981765747,,
5,travel,auto ka meter on karlo please,meter on karlo please auto ka,on karlo auto ka meter please,auto ka meter on karlo please,0.6042750794713535,0.39763536438352537,0.9317399859428406,0.9431870579719543,,
6,travel,highway pe speed limit follow karo,speed limit follow karo highway pe,follow karo highway pe speed limit,highway pe speed limit follow karo,0.6042750794713535,0.6042750794713535,0.8849360942840576,0.9442533254623413,,
7,travel,luggage ka weight check ho gaya kya,weight check ho gaya kya luggage ka,check ho gaya kya luggage ka weight,Has the weight of the luggage been checked?,0.7071067811865478,0.5946035575013604,0.9388403296470642,0.9403265714645386,,
8,travel,train platform number change ho gaya,platform number change ho gaya train ka,change ho gaya train ka platform number,train platform number changed,0.6434588841607617,0.32172944208038085,0.9348847270011902,0.9103718996047974,,
9,travel,flight delay ka reason bata sakte ho,reason bata sakte ho flight delay ka,bata sakte ho flight delay ka reason,Can you tell the reason for the flight delay?,0.5946035575013604,0.5946035575013604,0.9409776926040649,0.9308688044548035,,
10,travel,ticket ka refund online mil jayega kya,refund online mil jayega kya ticket ka,mil jayega online refund ticket ka kya,Will I get ticket refund online?,0.7071067811865478,0.2136435031981171,0.9477259516716003,0.9359385967254639,,
11,food,pizza ka order cancel karna padega,order cancel karna padega pizza ka,cancel karna padega pizza ka order,Pizza order will have to be canceled,0.6042750794713535,0.5081327481546147,0.9302153587341309,0.929928183555603,,
12,food,chai me extra sugar add kar do,extra sugar add kar do chai me,add kar do chai me extra sugar,add extra sugar to tea,0.7071067811865478,0.5946035575013604,0.9146464467048645,0.9222251176834106,,
